cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
16450,-34.53180,-19.22558,-15.30622,-6.51313,-8.22684,-0.56625,0.9483,17.44,0.0181,29.85,2.28,0.489,0.506,0.093,0.0104,0.0500
16475,-34.47643,-19.19967,-15.27676,-6.51728,-8.18755,-0.57193,0.9489,17.24,0.0179,29.87,2.30,0.489,0.506,0.093,0.0104,0.0500
16500,-34.50155,-19.23920,-15.26235,-6.48347,-8.17332,-0.60556,0.9440,17.17,0.0178,29.71,2.65,0.489,0.506,0.093,0.0104,0.0500
16525,-34.57524,-19.24778,-15.32746,-6.53437,-8.24826,-0.54482,0.9514,17.31,0.0179,30.08,2.73,0.489,0.506,0.093,0.0104,0.0500
16550,-34.44894,-19.18767,-15.26128,-6.50215,-8.19016,-0.56896,0.9467,17.64,0.0183,29.78,2.96,0.489,0.506,0.093,0.0104,0.0500
16575,-34.41065,-19.11716,-15.29348,-6.50175,-8.21480,-0.57693,0.9467,17.71,0.0183,29.83,2.99,0.489,0.506,0.093,0.0104,0.0500
16600,-34.37764,-19.13027,-15.24738,-6.47669,-8.18715,-0.58354,0.9430,17.77,0.0184,29.50,4.01,0.489,0.506,0.093,0.0104,0.0500
16625,-34.42110,-19.13434,-15.28676,-6.48752,-8.20809,-0.59115,0.9446,17.59,0.0182,29.62,3.95,0.489,0.506,0.093,0.0104,0.0500
16650,-34.52140,-19.25710,-15.26430,-6.50002,-8.19717,-0.56710,0.9464,-72.41,-0.0750,29.50,3.99,0.489,0.506,0.093,0.0104,0.0500
16675,-34.53303,-19.23160,-15.30143,-6.51076,-8.21123,-0.57945,0.9480,-72.52,-0.0751,29.50,3.98,0.489,0.506,0.093,0.0104,0.0500
16700,-34.57589,-19.28991,-15.28598,-6.50052,-8.21175,-0.57370,0.9465,-72.64,-0.0753,29.74,3.59,0.489,0.506,0.093,0.0104,0.0500
16725,-34.54351,-19.23020,-15.31331,-6.51904,-8.22225,-0.57202,0.9492,-162.38,-0.1683,29.74,4.52,0.489,0.506,0.093,0.0104,0.0500
16750,-34.51955,-19.24189,-15.27767,-6.50373,-8.19166,-0.58228,0.9470,-162.34,-0.1682,29.93,4.50,0.489,0.506,0.093,0.0104,0.0500
16775,-34.51433,-19.24301,-15.27131,-6.52034,-8.18649,-0.56449,0.9494,-162.60,-0.1685,29.72,4.50,0.489,0.506,0.093,0.0104,0.0500
16800,-34.56108,-19.25975,-15.30133,-6.50727,-8.21637,-0.57769,0.9475,-162.48,-0.1684,30.42,3.69,0.489,0.506,0.093,0.0104,0.0500
16825,-34.47303,-19.21507,-15.25797,-6.47827,-8.19689,-0.58280,0.9433,-72.61,-0.0752,29.96,3.92,0.489,0.506,0.093,0.0104,0.0500
16850,-34.50760,-19.20062,-15.30698,-6.49363,-8.23896,-0.57439,0.9455,-162.62,-0.1685,30.12,4.20,0.489,0.506,0.093,0.0104,0.0500
