cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
1100,-44.93621,-25.37423,-19.56198,-6.53502,-12.61287,-0.41409,0.9515,18.82,0.0195,29.49,0.54,0.380,0.507,0.095,0.0107,0.0500
1125,-45.02064,-25.47000,-19.55064,-6.51063,-12.59900,-0.44102,0.9480,17.95,0.0186,29.49,0.53,0.383,0.507,0.095,0.0107,0.0500
1150,-45.07297,-25.50271,-19.57026,-6.53619,-12.60309,-0.43098,0.9517,17.96,0.0186,29.46,0.54,0.385,0.507,0.100,0.0112,0.0500
1175,-45.10581,-25.53326,-19.57255,-6.50546,-12.62498,-0.44212,0.9472,17.92,0.0186,29.46,0.54,0.388,0.507,0.090,0.0101,0.0500
1200,-45.22090,-25.66172,-19.55918,-6.53758,-12.60811,-0.41348,0.9519,17.82,0.0185,29.45,0.50,0.390,0.507,0.094,0.0106,0.0500
1225,-45.24783,-25.69888,-19.54895,-6.49352,-12.61770,-0.43773,0.9455,17.93,0.0186,29.43,0.49,0.393,0.506,0.094,0.0105,0.0500
1250,-45.36432,-25.74521,-19.61910,-6.51364,-12.67789,-0.42757,0.9484,17.86,0.0185,29.42,0.48,0.395,0.506,0.089,0.0100,0.0500
1275,-45.25861,-25.72466,-19.53395,-6.51457,-12.58170,-0.43768,0.9485,18.13,0.0188,29.41,0.49,0.397,0.506,0.089,0.0100,0.0500
1300,-45.34187,-25.72959,-19.61229,-6.54266,-12.63551,-0.43412,0.9526,18.04,0.0187,29.41,0.49,0.399,0.506,0.093,0.0104,0.0500
1325,-45.32842,-25.76047,-19.56795,-6.53431,-12.61697,-0.41667,0.9514,18.11,0.0188,29.41,0.49,0.401,0.506,0.093,0.0104,0.0500
1350,-45.30789,-25.77015,-19.53773,-6.51467,-12.59231,-0.43076,0.9486,18.26,0.0189,29.40,0.49,0.403,0.506,0.088,0.0099,0.0500
1375,-45.32045,-25.72088,-19.59956,-6.54008,-12.63071,-0.42878,0.9523,18.37,0.0190,29.41,0.49,0.404,0.506,0.088,0.0098,0.0500
1400,-45.32763,-25.77824,-19.54939,-6.52331,-12.58937,-0.43671,0.9498,18.54,0.0192,29.41,0.50,0.406,0.506,0.083,0.0093,0.0500
1425,-45.40691,-25.89364,-19.51327,-6.49303,-12.58537,-0.43486,0.9454,18.59,0.0193,29.41,0.49,0.408,0.506,0.092,0.0103,0.0500
1450,-45.41603,-25.85888,-19.55715,-6.49671,-12.62017,-0.44027,0.9459,18.72,0.0194,29.41,0.49,0.410,0.505,0.087,0.0097,0.0500
1475,-45.40973,-25.88337,-19.52637,-6.50293,-12.58579,-0.43765,0.9468,18.80,0.0195,29.40,0.50,0.411,0.505,0.087,0.0097,0.0500
1500,-45.48016,-25.92036,-19.55980,-6.45833,-12.63537,-0.46610,0.9404,18.96,0.0197,29.41,0.50,0.413,0.505,0.091,0.0102,0.0500
1525,-45.51809,-25.94513,-19.57297,-6.51233,-12.62183,-0.43881,0.9482,19.11,0.0198,29.40,0.50,0.414,0.505,0.091,0.0102,0.0500
1550,-45.59305,-26.00927,-19.58377,-6.51984,-12.63804,-0.42589,0.9493,19.07,0.0198,29.40,0.50,0.416,0.505,0.086,0.0096,0.0500
1575,-45.57171,-25.99712,-19.57459,-6.52844,-12.60880,-0.43735,0.9506,18.72,0.0194,29.39,0.50,0.417,0.505,0.086,0.0096,0.0500
1600,-45.59320,-26.05084,-19.54236,-6.51397,-12.58658,-0.44182,0.9485,18.73,0.0194,29.40,0.50,0.418,0.505,0.090,0.0101,0.0500
1625,-45.65961,-26.06004,-19.59958,-6.50397,-12.66427,-0.43133,0.9470,18.91,0.0196,29.40,0.50,0.420,0.504,0.089,0.0100,0.0500
1650,-45.63422,-26.07407,-19.56014,-6.51244,-12.60243,-0.44527,0.9482,19.00,0.0197,29.42,0.54,0.421,0.504,0.094,0.0105,0.0500
1675,-45.61716,-26.06092,-19.55623,-6.51940,-12.59832,-0.43851,0.9492,18.97,0.0197,29.43,0.59,0.422,0.504,0.085,0.0095,0.0500
1700,-45.74540,-26.19119,-19.55420,-6.49953,-12.60473,-0.44995,0.9464,18.83,0.0195,29.43,0.70,0.423,0.504,0.080,0.0090,0.0500
1725,-45.68723,-26.16318,-19.52405,-6.49460,-12.58677,-0.44268,0.9456,18.65,0.0193,29.40,0.59,0.424,0.504,0.088,0.0099,0.0500
1750,-45.76001,-26.21387,-19.54613,-6.50535,-12.59509,-0.44570,0.9472,18.74,0.0194,29.45,0.81,0.425,0.504,0.084,0.0094,0.0500
1775,-45.71108,-26.14136,-19.56971,-6.54823,-12.59629,-0.42520,0.9534,18.61,0.0193,30.02,0.88,0.426,0.504,0.092,0.0104,0.0500
1800,-45.77151,-26.19240,-19.57911,-6.50403,-12.61850,-0.45658,0.9470,18.60,0.0193,29.60,0.91,0.427,0.504,0.087,0.0098,0.0500
1825,-45.89970,-26.32371,-19.57599,-6.50706,-12.62768,-0.44125,0.9474,18.65,0.0193,29.41,0.71,0.429,0.504,0.079,0.0089,0.0500
1850,-45.90878,-26.29749,-19.61129,-6.50439,-12.66244,-0.44446,0.9471,18.51,0.0192,29.40,0.65,0.430,0.504,0.091,0.0102,0.0500
1875,-45.81982,-26.27521,-19.54460,-6.48381,-12.60055,-0.46024,0.9441,18.55,0.0192,29.40,0.65,0.430,0.504,0.082,0.0092,0.0500
1900,-45.87377,-26.29497,-19.57880,-6.53540,-12.61087,-0.43253,0.9516,18.41,0.0191,29.41,0.60,0.431,0.504,0.086,0.0097,0.0500
1925,-45.85314,-26.28797,-19.56517,-6.51524,-12.59501,-0.45492,0.9486,18.43,0.0191,29.43,0.66,0.432,0.504,0.086,0.0097,0.0500
1950,-45.85647,-26.33417,-19.52230,-6.49435,-12.56383,-0.46412,0.9456,18.35,0.0190,29.46,0.68,0.433,0.504,0.082,0.0092,0.0500
1975,-45.90489,-26.32221,-19.58268,-6.51373,-12.62322,-0.44574,0.9484,18.40,0.0191,29.46,0.65,0.434,0.504,0.081,0.0091,0.0500
